release_id,input,output,meaning,num_cognates,cognate_set_id,source,pos,pokorny_ref
train-a1d897c994c6ba54-01,[fra] femme [sar] fémina [sar] femmina [wal] feume [fri] femine [ron] femeie [nea] femmena [old] feme [ang] femme [fra] fna [old] femna [khw] δēn [old] fembra,*dʰeh₁(i̯)-,nan,13,1277.0,iecor,nan,
train-741f693d9371cc6a-01,[grc] ἐρῠγγᾰ́νω [lav] raûgt [lit] ráugti [grc] ἐρεύγομαι [lat] (ē)rūgō [lat] rūgiō [lav] raûgs [lit] ráugas [lat] rūmen [xcl] ործամ [xcl] ործկամ [xcl] առիւծ [lav] rûgt [lit] rū́gti [lav] raûgâtiês [lit] ráugėti [lit] riáugėti [lit] riáugti [lit] riáugsti [ang] rocettan [grc] ὀρυμαγδός [fas] آروغ,*h₁rewg-,"to belch, to roar",24,,kaikki,root,
train-ff17acb63d36fae4-01,[grc] κρούω,*krows-,"to push, bump, strike, break",1,,kaikki,root,
train-e04d15b7688957be-01,[lat] creō [lat] crēscō [lat] crēber [grc] κόρος [gmy] 𐀒𐀺 [xcl] սեր [xcl] սերեմ [xcl] սերիմ [xcl] սեռ [xcl] սերմն [xcl] սերտ [goh] hirso,*ḱer-,"to grow, to make grow, to nourish",13,,kaikki,root,
train-aafe1036f843f063-01,[sga] réid,*(H)rei̯dʰ-,nan,1,8230.0,iecor,nan,
train-cb38219579824d61-01,[kur] dnɨvit,*ped-,nan,1,9252.0,iecor,nan,
train-0a5c3c9c96da21ac-01,[ell] pethaínō [grc] apothnȩ̄́skō [ell] apothnȩ̄́skō [ell] pethanískō [ell] (a)pethaínō [ell] apothánō [ell] pethainíško,*dʰenh₂-,nan,7,1468.0,iecor,nan,
train-f18893e36c9c3cca-01,[lat] dēfendō [lat] offendō [sqi] gjuaj [xcl] ջնջեմ [lav] dzenêt [lit] genė́ti [grc] θείνω [sga] geguin [grc] πέφαται [san] जघान [san] जघ्नुर् [ave] 𐬘𐬀𐬖𐬥𐬎𐬎𐬁𐬵 [hit] 𒆪𒀸𒆠- [hit] 𒆪𒉿𒀸𒆠- [txb] käsk- [grc] ἔπεφνον [ave] 𐬥𐬌𐬘𐬀𐬖𐬥𐬆𐬧𐬙𐬈 [ave] 𐬀𐬎𐬎𐬀𐬘𐬀𐬖𐬥𐬀𐬝 [xcl] գան [xcl] գանեմ [san] हन् [fas] زَن,*gʷʰen-,"to strike, slay, kill",31,,kaikki,root,
train-9418ba02b2148266-01,[por] pau [spa] palo [cat] pal [old] palo [old] pal [por] pau,*peh₂g̑-,nan,6,2036.0,iecor,nan,
train-9bd922c7b00d55c3-01,[xcl] կոչեմ [san] गदति,*gʷet-,"to say, speak",2,,kaikki,root,
train-09814403de6d1ab6-01,[sor] gnaś,*gʷʰen-,nan,1,5193.0,iecor,nan,
train-9a3e912d9aa3e72b-01,[san] उक्षति [grc] ὑγρός [lat] ūvidus [lat] ūdus [lat] ūmeō,*wegʷ-,"wet, moist",5,,kaikki,root,
train-b0fc5fc0f1b0f3f9-01,[sar] narrer [sar] nárrere,*g̑neh₃-,nan,2,2076.0,iecor,nan,
train-46a422cdf69c2b39-01,[gae] thalloo [gau] talamo-,*telh₂-,nan,2,2512.0,iecor,nan,
train-f1268d88125f94d0-01,[txb] tsāknaṃ [xto] tsāknaṣ*,*dʰei̯h₂gʷ-,nan,2,7228.0,iecor,nan,
train-8aee23fa4a13b1e9-01,[hin] lambā [mar] lāmba [nep] lāmo [urd] lambā [mai] laṁbā [mag] lammā [ben] lambā [bho] lambā [pun] laⁿmā,*lembH-,nan,9,793.0,iecor,nan,
train-653560dccbfeed9e-01,[sar] zukht,*g̑ʰei̯-,nan,1,9357.0,iecor,nan,
train-d38e91613759389f-01,[aln] ndotur,*g̑ʰed-,nan,1,7943.0,iecor,nan,
train-2b9172bee998cd0d-01,[grc] osphraínomai [pal] ghāyati [ell] osphraínomai* [san] jíghra- [mar] vāsa gheṇe [pal] ghróoṇ,*gʷʰreh₁-,nan,6,6163.0,iecor,nan,
train-b55245245f6e2f21-01,[gaw] ǰik,*(H)i̯eh₂-,nan,1,7317.0,iecor,nan,
train-c1a56fe4870a2053-01,[hyw] mtacel [hye] mtacel [mid] medu [cym] meddwl,*med-,nan,4,5954.0,iecor,nan,
train-b93422f4692ad567-01,[ave] 𐬀𐬉𐬑𐬀 [xcl] եղեամն [lit] ýnis [ave] 𐬌𐬯𐬎 [mid] ʾys,*h₁eyH-,"ice, frost",6,,kaikki,root,
train-152cc9eb3c8c9e21-01,[lit] per [lit] per- [lit] par- [lav] par [lav] par- [prg] per [lat] per [lat] per-,*pér,through,14,,kaikki,adv,
train-33e6a215ee5aabd7-01,[sga] odur [sqi] hyll [grc] Ἰλλυρία,*udrós,"of water, aquatic, otter",3,,kaikki,adj,
train-3bd07dffad10c22c-01,[lat] sapiō [xcl] համ,*sep-,"to taste, to try out",2,,kaikki,root,
train-95a96b5bc6a634ad-01,[xto] koṃ [txb] kauṃ,*k̑eh₂u̯-,nan,2,5455.0,iecor,nan,
train-e4f26e6da0f8a27b-01,[lat] fruor [lat] frūctus [lat] frūmen [lat] frūmentum [grc] φάρυγξ [xcl] երբուծ,*bʰruHg-,to make use of; have enjoyment of,7,,kaikki,root,
